Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207119D007905;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207119D007905;17/07/2024;30;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207119D007905;29/07/2024;110;504;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207119D007905;12/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207123D007501;11/06/2024;234;127;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207123D007501;01/07/2024;270;805;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207123D007501;15/07/2024;94;144;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207123D007501;30/07/2024;197;438;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207123D007501;12/08/2024;312;905;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207126D007330;12/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207126D007330;08/07/2024;127;61;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207126D007330;23/07/2024;144;61;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207126D007330;05/08/2024;30;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207126D007330;20/08/2024;332;77;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207127D007028;11/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207127D007028;01/07/2024;94;61;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207127D007028;18/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207127D007028;29/07/2024;46;94;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207127D007028;13/08/2024;15;61;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207129D007610;11/06/2024;46;179;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207129D007610;02/07/2024;93;1599;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207129D007610;16/07/2024;110;179;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207129D007610;30/07/2024;15;375;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207129D007610;13/08/2024;197;127;;;;
